#Radio	Excentricidad
111.369	0.0249357
7.32069	0.562468
92.1603	0.0224412
18.4899	0.167162
88.6579	0.0451801
35.2592	0.0644972
26.6826	0.057977
48.1277	0.113815
10.1901	0.03057
97.6261	0.0301057
56.0571	0.0527384
62.7281	0.0432696
30.6954	0.0573288
14.5062	0.109517
65.8051	0.0478477
109.513	0.0399092
108.247	0.0145857
30.0219	0.0917564
39.8842	0.184006
57.095	0.044978
65.7987	0.0507948
8.00106	0.0471339
28.7322	0.0381164
69.5447	0.048291
19.5099	0.0363428
57.1009	0.301008
100.849	0.031937
53.4427	0.0391184
56.6445	0.0436713
72.284	0.0516873
41.698	0.158367
89.0747	0.0960263
53.6932	0.101158
13.8162	0.18897
9.79593	0.313161
81.446	0.0514129
69.8683	0.03227
84.5151	0.0520063
87.2627	0.0461685
57.6885	0.0351797
39.1805	0.0249758
62.682	0.0444336
99.3168	0.0374356
62.6208	0.0139049
36.8834	0.0948266
33.5634	0.0251445
99.6103	0.0506592
53.3022	0.0729211
107.776	0.0109417
53.4953	0.032039
103.392	0.0265541
29.4229	0.108785
95.9478	0.0532219
34.1301	0.115083
13.8358	0.0438987
30.8897	0.044543
82.2753	0.0521608
104.398	0.0443173
8.03164	0.0152349
94.595	0.052842
69.2121	0.0525195
31.4605	0.0391549
63.576	0.0457915
107.297	0.0268977
13.3381	0.432553
12.6853	0.042825
43.7692	0.0775537
95.2779	0.0523105
88.0394	0.0529266
13.3304	0.275152
72.7864	0.0525977
36.4983	0.0252301
16.1813	0.0268025
44.2316	0.0492346
105.991	0.0176903
79.4571	0.0472303
27.5939	0.156536
36.6461	0.0436054
95.686	0.0441803
6.34241	0.347198
20.5642	0.106544
54.2455	0.03884
95.2659	0.044143
78.3352	0.0526552
24.2019	0.015908
1.95976	0.252132
34.2681	0.0868895
108.661	0.0218237
12.4493	0.0410189
78.8976	0.0520983
14.2673	0.0793677
57.9296	0.01154
15.6988	0.0431994
56.5768	0.0469173
88.1769	0.0503225
22.8961	0.0540338
34.5764	0.06321
83.4791	0.0368339
71.8108	0.0513571
9.8685	0.554926
89.0148	0.0482256
102.478	0.0209292
69.8126	0.0496969
82.889	0.0438159
83.269	0.0495489
52.7288	0.0725108
50.5061	0.0168022
112.443	0.0376608
32.6611	0.222051
106.438	0.0103289
94.1413	0.0502479
38.9756	0.125568
38.185	0.0453168
53.8009	0.107644
52.0656	0.101741
54.039	0.0668442
53.1828	0.044701
54.5058	0.0161283
42.0714	0.0293075
62.7405	0.0669627
105.161	0.0430934
12.333	0.109865
88.8385	0.052614
69.121	0.0507939
37.0199	0.278538
58.6339	0.0956491
39.2445	0.0673157
62.9976	0.0471773
69.0257	0.0462214
96.393	0.0299516
45.0069	0.0686987
26.0574	0.129751
54.088	0.0526913
71.7819	0.0526859
16.449	0.0473944
76.7196	0.0516753
37.9862	0.286264
67.1612	0.049285
13.6725	0.117766
92.7909	0.0492038
106.502	0.0146966
54.4837	0.0374733
54.052	0.0846159
102.862	0.0353889
19.5102	0.07118
53.7466	0.0389099
36.2326	0.0423273
89.9792	0.0706337
28.0862	0.0467687
65.5312	0.0522041
54.2346	0.1196
28.587	0.0905123
79.8498	0.0529075
76.2099	0.0529221
38.4345	0.162969
38.702	0.0613499
83.455	0.0526271
38.4192	0.0596801
23.2475	0.133136
12.9505	0.0359932
69.3423	0.0507527
106.609	0.0272102
78.7454	0.0513443
104.922	0.0377143
61.4	0.0486706
53.6328	0.0586532
52.9773	0.0479051
15.475	0.525987
35.8998	0.0883027
61.9943	0.0442572
81.3752	0.0528132
23.5072	0.111967
82.2715	0.0405223
89.7342	0.0528595
51.2769	0.0305042
99.541	0.0489957
59.72	0.0234736
27.1814	0.0691286
32.9518	0.062014
98.4346	0.0611471
22.486	0.112607
29.2661	0.169804
13.599	0.0632112
80.7289	0.0528744
47.1417	0.0444317
54.4099	0.0657267
39.3044	0.0218718
4.58766	0.549793
63.7263	0.0475085
67.4874	0.0344123
54.8269	0.0620223
90.0428	0.0484063
103.362	0.0333737
53.7581	0.091156
70.5716	0.050491
18.8803	0.0983766
35.4169	0.0313369
76.9662	0.0529235
17.0043	0.0542294
94.8316	0.0529032
12.1023	0.208757
26.2248	0.109597
36.3568	0.0924974
31.1066	0.0267795
13.88	0.0443915
101.861	0.0172072
34.1446	0.0373037
12.5832	0.102376
53.8358	0.0377116
26.4706	0.316723
84.5209	0.286017
77.0205	0.0528472
36.3973	0.0525162
18.0972	0.0148525
103.324	0.0402041
72.3598	0.0518396
9.04279	0.121859
72.127	0.0523974
44.6129	0.0541014
15.82	0.0662833
88.1629	0.0517836
52.3045	0.118878
39.9696	0.0367256
6.45454	0.316793
94.427	0.0970459
79.2664	0.0489794
53.7196	0.0191927
53.7348	0.0341255
27.1487	0.0411611
70.3181	0.0525033
75.0652	0.0304775
51.9594	0.0849811
37.4543	0.0661703
54.0853	0.0212226
62.4092	0.061094
38.6942	0.146834
68.5563	0.0917644
73.3073	0.0527088
38.0704	0.0607705
57.2309	0.0325168
107.062	0.0301195
16.5324	0.0401065
52.7188	0.0718641
66.1041	0.0246194
80.9893	0.052683
35.0853	0.0526761
31.3084	0.0990578
92.028	0.0476985
55.9241	0.0508414
36.4271	0.065062
21.9579	0.0397774
109.658	0.0417621
59.9719	0.0261896
13.9813	0.0452932
67.7429	0.0380949
12.3269	0.131172
5.41759	0.187095
64.2135	0.0381842
54.096	0.0407797
51.5768	0.0468961
31.517	0.0576604
109.206	0.0602304
84.3655	0.0471105
18.5016	0.0511585
54.0794	0.0269952
92.4574	0.0519018
62.6057	0.016044
53.672	0.0159475
105.923	0.016725
54.9869	0.052275
59.8881	0.0413899
64.105	0.0328996
9.4789	0.114219
35.7753	0.135735
35.8476	0.106458
81.6529	0.050899
101.488	0.0300641
97.69	0.0508449
30.0729	0.134609
64.5044	0.0256366
90.3593	0.05136
67.7084	0.0525275
36.476	0.0772874
12.0523	0.324834
51.3909	0.0522087
89.6757	0.0171117
27.1419	0.0828951
94.1908	0.0482913
65.4162	0.0486629
87.809	0.0752266
96.7859	0.056215
104.846	0.0361045
63.7074	0.0422872
74.6391	0.0529309
16.3554	0.0454816
54.2505	0.0484759
35.0554	0.0448771
96.0162	0.0365863
47.7692	0.0375788
52.8035	0.105532
100.76	0.0469942
53.761	0.0992877
3.9594	0.0416823
20.9634	0.257689
75.9714	0.0523892
53.8088	0.0699341
37.2237	0.0747271
94.4435	0.0353604
55.3825	0.0526037
60.3248	0.0213008
79.7052	0.0527345
17.0431	0.0351094
80.2536	0.052623
6.60957	0.325268
65.1132	0.0323561
62.3206	0.0526318
96.6919	0.0289223
51.1172	0.0206314
52.9613	0.0149222
109.995	0.0342395
93.6581	0.0407995
20.4191	0.00749123
91.8748	0.0427421
24.0463	0.172546
39.706	0.0773862
54.4041	0.0458564
50.7168	0.028499
73.4588	0.052709
12.2366	0.70706
6.78485	0.209816
67.3288	0.0528987
76.6092	0.0524246
58.2162	0.0507041
31.9238	0.203323
24.5403	0.282203
60.603	0.0156853
61.9452	0.0515381
12.6589	0.0229068
107.587	0.0283749
37.0457	0.0605186
93.9908	0.0451715
108.09	0.035967
102.396	0.0290916
47.4053	0.0498402
24.6551	0.093173
53.9065	0.052933
54.9422	0.0663461
96.3945	0.0349566
32.4817	0.158397
1.94788	0.13782
6.12564	0.423459
81.8857	0.0525869
108.112	0.0233707
28.1248	0.0608071
14.9072	0.208987
25.6175	0.12102
37.9259	0.0943544
28.1245	0.0365906
84.2517	0.0510826
15.1314	0.179402
88.8141	0.0828649
51.5208	0.0484038
101.787	0.0432641
38.9056	0.0532616
53.5316	0.100865
22.3222	0.0485806
38.04	0.116497
72.5724	0.0529193
70.1044	0.0490744
15.8283	0.147987
107.658	0.0429706
86.6274	0.0295193
32.9555	0.160564
4.13744	0.173638
23.2539	0.146459
2.87251	0.635588
94.4862	0.0483385
5.57112	0.0335419
77.982	0.0523174
60.1747	0.0423629
33.3091	0.206773
109.445	0.00236357
69.4375	0.0512343
61.6499	0.0463467
36.5929	0.0488545
58.2562	0.101922
20.387	0.362325
69.6935	0.0515113
24.166	0.199056
44.1064	0.0680173
35.481	0.0631449
21.2226	0.172949
54.3048	0.0120595
48.994	0.0282841
9.2858	0.047537
17.9753	0.131569
109.849	0.0232242
80.1372	0.0479523
27.6538	0.230714
41.8142	0.0480457
27.9975	0.0372831
91.5547	0.0519727
63.0836	0.0427819
78.1571	0.0512199
19.8841	0.116834
17.5234	0.0173412
28.5991	0.0435763
24.1363	0.090878
8.41491	0.0961783
69.2844	0.0504389
74.9579	0.051625
54.0878	0.0588009
8.85082	0.115772
29.2894	0.0482602
93.872	0.014407
34.8621	0.200605
54.6285	0.0670713
33.3705	0.0977326
36.4611	0.0955449
92.5235	0.024718
6.35298	0.0863555
54.6194	0.0573005
78.4116	0.0505377
